dataset,correctness_score,semantic_similarity_score,faithfulness_score,context_relevancy_score,answer_relevancy_score,avg_score
agriculture,93.30000000000001,78.72173366384635,100.0,89.25,97.5,91.75434673276928
art,92.15,76.08760045580976,99.0,90.5,100.0,91.54752009116196
biography,89.22222222222223,75.68902400099059,100.0,85.625,99.44444444444444,89.99613813353145
biology,94.31818181818183,77.93718631729048,98.63636363636363,87.44318181818181,99.77272727272727,91.62152817254899
cooking,87.5,74.87682059111795,100.0,83.22916666666667,98.75,88.87119745155692
cs,96.0,81.18045313605326,99.0,91.0,100.0,93.43609062721065
fiction,84.9090909090909,69.10165073939052,98.18181818181819,77.93181818181819,100.0,86.02487560242356
fin,83.04347826086956,73.13830059932135,97.68115942028986,87.86231884057972,99.1304347826087,88.17113838073384
health,92.05555555555556,76.63121236531283,100.0,87.84722222222221,99.72222222222223,91.25124247306258
history,92.88888888888889,76.54616043398896,99.44444444444444,89.75694444444444,100.0,91.72728764235335
legal,74.72602739726028,76.44898312950362,98.63013698630137,88.9269406392694,98.40182648401826,87.42678292727058
literature,87.16666666666667,71.93693679230296,97.22222222222221,81.04166666666667,100.0,87.47349846957171
mathematics,89.6875,76.21719393714066,97.5,79.921875,99.6875,88.60281378742813
mix,90.6923076923077,82.33781421153616,96.92307692307692,82.79807692307692,99.23076923076923,90.39640899615338
music,93.75,77.25349526926648,99.5,90.0625,98.75,91.8631990538533
philosophy,92.9,73.91232049074,100.0,88.59375,99.75,91.03121409814801
physics,96.875,79.42138770876038,100.0,92.3046875,99.6875,93.65771504175208
politics,91.33333333333333,74.8190071648143,99.44444444444444,87.70833333333333,99.44444444444444,90.54991254407398
psychology,94.89999999999999,76.96587104898563,100.0,88.5375,99.75,92.03067420979713
technology,92.125,77.83936847183415,99.58333333333333,87.60416666666667,99.16666666666667,91.26370702770018
