input,answers,context_id
What is the primary purpose of the Restructuring Support Agreement?,"The primary purpose of the Restructuring Support Agreement is to facilitate the restructuring of Endologix, Inc. and its subsidiaries (the ""Company"") in accordance with a pre-negotiated chapter 11 plan of reorganization.",d92def372f4f87925fd017a5350fb6f2
What are the key commitments of the Supporting Lenders under the agreement?,"The key commitments of the Supporting Lenders include supporting the restructuring, voting their claims to accept the plan, refraining from changing or revoking their vote, and not objecting to, delaying, or opposing the approval, acceptance, or implementation of the restructuring.",c1939bfcf42ac0ea3e88567da619a126
What are the conditions precedent to the obligation of the Company and the Supporting Lenders to consummate the transactions?,"The conditions precedent include no injunctions or orders restraining or making the transactions illegal, no orders dismissing or converting the Chapter 11 Cases, and no Alternative Transaction being entered into by the Company.",d3dd3816138626a5fc316084fad9b5ea
"What are the representations and warranties of the Company regarding its qualification, organization, and subsidiaries?","The Company represents and warrants that it and its subsidiaries are duly organized, validly existing, and in good standing under the laws of their respective jurisdictions, have all requisite power and authority to own their properties and assets, and are duly qualified to do business and in good standing in each jurisdiction where required.",71da9c670270376ed3acad29fa048c54
What are the conditions to the obligation of the Company to consummate the transactions?,"The conditions to the obligation of the Company include the truth and correctness of the Supporting Lenders' specified representations, the performance of the Supporting Lenders' covenants and agreements, and the entry of the Confirmation Order by the Bankruptcy Court.",0dce2601a069cc0ec1b73c3811dcd0d0
What is the significance of the Outside Date mentioned in the agreement?,"The Outside Date is the deadline by which the Plan must become effective, or else the Agreement will terminate automatically. It is set as October 5, 2020, at 11:59 p.m. Eastern Time.",64dd51be76b8add5e3788adfd442c016
Who are the parties involved in the Second Amendment to the Golf Course Use Agreement?,"The parties involved are Rio Secco LLC, Cascata LLC, Chariot Run LLC, and Grand Bear LLC (collectively, ""Owner""), and Caesars Enterprise Services, LLC and CEOC, LLC (collectively, ""User""), with Caesars License Company, LLC (""CLC"") reaffirming its obligations under Section 2.1(c) of the Use Agreement.",cb41cae26e042a07f37dc8d28ca0009b
What are the consequences if a person executing the Second Amendment is not fully authorized to do so?,"If a person executing the Second Amendment is not fully authorized, the effectiveness and enforceability of the Second Amendment against the party for whom such person is acting may be compromised, and further action or consent may be required to validate the execution.",26ce3976e5e3da84a5a52c4af0c4fa1b
"Can the Second Amendment be changed, modified, waived, discharged, or terminated orally?","No, the Second Amendment, or any provision thereof, cannot be changed, modified, waived, discharged, or terminated orally. Such actions can only be done by an instrument in writing signed by the party against whom enforcement is sought.",03e524304afc869c6064314d565a2408
Who is responsible for ensuring that the person executing the Second Amendment is fully authorized to do so?,"Each person executing the Second Amendment represents and warrants that they are fully authorized to execute the Second Amendment on behalf of the party they are representing, and no further action or consent is required for the effectiveness and enforceability of the Second Amendment.",730906388109aa35b476cc6b665d8d91
What is the significance of the signature page attached to the Second Amendment?,"The signature page attached to the Second Amendment serves as evidence of the execution of the Second Amendment by the parties involved, confirming their agreement to the terms and conditions set forth therein.",5aa8c484b768d9a9951a6eea657082a7
Who are the parties involved in this credit agreement?,"The parties involved are Cummins Inc., the Subsidiary Borrowers referred to herein, the Lenders party hereto, JPMorgan Chase Bank, N.A. (as Administrative Agent), Bank of America, N.A. (as Syndication Agent), and other named lenders and agents.",80d61fd2a7561e29248fdb6dcac6e4c8
What is the maturity date of the credit agreement?,"The maturity date of the credit agreement is April 30, 2021.",c712c2d88e3d56c7afd8c0b1200a975d
What are the provisions for prepayment of Loans?,"The provisions for prepayment of Loans allow the Borrower to prepay any Borrowing in whole or in part, subject to prior notice and compliance with certain conditions, including payment of accrued interest and break funding payments.",d0abfae1628e28679e6e14f2a4607f87
What are the negative covenants imposed on the Company and its Subsidiaries?,"The negative covenants include restrictions on creating, incurring, or permitting to exist any Liens on property or assets, merging with or into or consolidating with any other Person, and incurring Priority Indebtedness.",088a8dcbdeed2c980dee9d78ecc8776e
How can a Lender assign its rights and obligations under the agreement?,"A Lender can assign its rights and obligations under the agreement to another Person subject to certain conditions, including obtaining the consent of the Company and the Administrative Agent, and complying with specific procedural requirements.",de3308b63f5877deb2cd32cb1c6988ce
What are the confidentiality provisions regarding the information shared among the parties?,"The confidentiality provisions require the Administrative Agent and Lenders to maintain the confidentiality of Information, except for disclosures to affiliated parties, regulatory authorities, other parties to the agreement, and in connection with legal proceedings or regulatory requirements.",034976cc05402e02826f261731392616
What are the provisions for amending the agreement?,"The agreement can be amended with the consent of the Company and the Required Lenders, subject to certain exceptions where the consent of all Lenders or specific Lenders may be required.",f929114486d13a5bbe3a07f9659748b8
What forms of payment are available for a Participant's benefits under the Plan?,"The available forms of payment include a Single Life Annuity, Joint and Survivor Annuities (with different percentages), a 120 Months Certain and Life Income Annuity, and a Lump Sum payment, among others.",c4c28e3d083c050178f78484d1e2c295
How are death benefits handled under the Plan?,"Pre-retirement death benefits are payable to the Surviving Spouse in the form of an Actuarially Equivalent single life annuity unless the Participant has made an effective election under Section 7.3. If there is no Surviving Spouse or an effective election, the benefit is paid to the designated Beneficiary or the estate in a single lump sum.",ad696af0e7f3598d8f23f457323ccc0a
What are the vesting requirements for a Participant under the Plan?,"A Participant becomes 100% vested in their Retirement Benefit upon termination of Employment due to death or Disability, or upon or after attaining Normal Retirement Age, or upon completion of five years of Vesting Service.",d0eeac74ce8ba80497b378909197f46f
How can an Employer amend or terminate the Plan?,"The Company has the right to amend the Plan at any time by an instrument in writing signed by an authorized officer of the Company. The Company also reserves the right to terminate the Plan, evidenced by a written instrument delivered to the Administrator and the Trustee.",44c575ab6927565cdf50ea3ca61fbc04
